"CoreID","Site","plot.id","tree.number","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","species","canopy.class","live.dead","dbh","plot"
"HOW1026S","Howland",1,26,1,2,"S",NA,NA,1930,1930,2013,"Y",1930,2013,"Y",NA,NA,"PCRU","C","LIVE",22.3,"1"
"HOW1027W","Howland",1,27,1,2,"W",NA,NA,1925,1925,2013,"Y",1925,2013,"Y",NA,NA,"PCRU","C","LIVE",28.1,"1"
"HOW1027E","Howland",1,27,1,2,"E",NA,NA,1925,1925,2013,"Y",1925,2013,"Y",NA,NA,"PCRU","C","LIVE",28.1,"1"
"HOW1028N","Howland",1,28,1,2,"N",NA,NA,1943,1943,2013,"Y",1943,2013,"Y",NA,NA,"PCRU","C","LIVE",20.5,"1"
"HOW1028S","Howland",1,28,1,2,"S",NA,NA,1943,1943,2013,"Y",1943,2013,"Y",NA,NA,"PCRU","C","LIVE",20.5,"1"
"HOW1031N","Howland",1,31,1,2,"N",NA,NA,1936,1936,2010,"Y",1936,2010,"Y",NA,NA,"PCRU","C","LIVE",11.6,"1"
"HOW1031S","Howland",1,31,1,2,"S",NA,NA,1936,1936,2013,"Y",1936,2013,"Y",NA,NA,"PCRU","C","LIVE",11.6,"1"
"HOW1032E","Howland",1,32,1,2,"E",NA,NA,1937,1937,2007,"Y",1937,2007,"Y",NA,NA,"PCRU","I","LIVE",10.1,"1"
"HOW1032W","Howland",1,32,1,2,"W",NA,NA,1937,1937,2008,"Y",1937,2008,"Y",NA,NA,"PCRU","I","LIVE",10.1,"1"
"HOW1033S","Howland",1,33,1,2,"S",NA,NA,1929,1929,2013,"Y",1929,2013,"Y",NA,NA,"PCRU","C","LIVE",23.2,"1"
"HOW1033N","Howland",1,33,1,2,"N",NA,NA,1929,1929,2013,"Y",1929,2013,"Y",NA,NA,"PCRU","C","LIVE",23.2,"1"
"HOW1034S","Howland",1,34,1,2,"S",NA,NA,1940,1940,2013,"Y",1940,2013,"Y",NA,NA,"PCRU","I","LIVE",15.7,"1"
"HOW1035E","Howland",1,35,1,2,"E",NA,NA,1930,1930,2013,"Y",1930,2013,"Y",NA,NA,"PCRU","C","LIVE",25.5,"1"
"HOW1035W","Howland",1,35,1,2,"W",NA,NA,1930,1930,2013,"Y",1930,2013,"Y",NA,NA,"PCRU","C","LIVE",25.5,"1"
"HOW1036S","Howland",1,36,1,2,"S",NA,NA,1909,1909,2013,"Y",1909,2013,"Y",NA,NA,"PCRU","I","LIVE",26.9,"1"
"HOW1036N","Howland",1,36,1,2,"N",NA,NA,1911,1911,2013,"Y",1911,2013,"Y",NA,NA,"PCRU","I","LIVE",26.9,"1"
"HOW1037E","Howland",1,37,1,2,"E",NA,NA,1924,1924,2013,"Y",1924,2013,"Y",NA,NA,"TSCA","I","LIVE",33.7,"1"
"HOW1037S","Howland",1,37,1,2,"S",NA,NA,1921,1921,1996,"Y",1921,1996,"Y",NA,NA,"TSCA","I","LIVE",33.7,"1"
"HOW1038E","Howland",1,38,1,2,"E",NA,NA,1939,1939,2013,"Y",1939,2013,"Y",NA,NA,"PCRU","C","LIVE",19.4,"1"
"HOW1038W","Howland",1,38,1,2,"W",NA,NA,1939,1939,2013,"Y",1939,2013,"Y",NA,NA,"PCRU","C","LIVE",19.4,"1"
"HOW1039E","Howland",1,39,1,2,"E",NA,NA,1894,1894,2013,"Y",1894,2013,"Y",NA,NA,"PCRU","C","LIVE",33,"1"
"HOW1039W","Howland",1,39,1,2,"W",NA,NA,1894,1894,2013,"Y",1894,2013,"Y",NA,NA,"PCRU","C","LIVE",33,"1"
"HOW1040W","Howland",1,40,1,2,"W",NA,NA,1929,1929,2013,"Y",1929,2013,"Y",NA,NA,"THOC","I","LIVE",15.6,"1"
"HOW1040E","Howland",1,40,1,2,"E",NA,NA,1929,1929,2013,"Y",1929,2013,"Y",NA,NA,"THOC","I","LIVE",15.6,"1"
"HOW1041E","Howland",1,41,1,2,"E",NA,NA,1932,1932,2013,"Y",1932,2013,"Y",NA,NA,"THOC","S","LIVE",12.4,"1"
"HOW1041W","Howland",1,41,1,2,"W",NA,NA,1932,1932,2013,"Y",1932,2013,"Y",NA,NA,"THOC","S","LIVE",12.4,"1"
"HOW1042N","Howland",1,42,1,2,"N",NA,NA,1948,1948,2013,"Y",1948,2013,"Y",NA,NA,"ACRU","S","LIVE",12.1,"1"
"HOW1042S","Howland",1,42,1,2,"S",NA,NA,1948,1948,2013,"Y",1948,2013,"Y",NA,NA,"ACRU","S","LIVE",12.1,"1"
"HOW1043E","Howland",1,43,1,2,"E",NA,NA,1929,1929,2013,"Y",1929,2013,"Y",NA,NA,"PCRU","C","LIVE",23.5,"1"
"HOW1043W","Howland",1,43,1,2,"W",NA,NA,1930,1930,2013,"Y",1930,2013,"Y",NA,NA,"PCRU","C","LIVE",23.5,"1"
"HOW1044N","Howland",1,44,1,2,"N",NA,NA,1887,1887,2013,"Y",1887,2013,"Y",NA,NA,"PCRU","C","LIVE",20,"1"
"HOW1044S","Howland",1,44,1,2,"S",NA,NA,1887,1887,2013,"Y",1887,2013,"Y",NA,NA,"PCRU","C","LIVE",20,"1"
"HOW1045E","Howland",1,45,1,2,"E",NA,NA,1903,1903,2013,"Y",1903,2013,"Y",NA,NA,"PCRU","C","LIVE",20.9,"1"
"HOW1045W","Howland",1,45,1,2,"W",NA,NA,1903,1903,2013,"Y",1903,2013,"Y",NA,NA,"PCRU","C","LIVE",20.9,"1"
"HOW1046W","Howland",1,46,1,2,"W",NA,NA,1874,1874,2011,"Y",1874,2011,"Y",NA,NA,"PCRU","C","LIVE",23,"1"
"HOW1046E","Howland",1,46,1,2,"E",NA,NA,1874,1874,2009,"Y",1874,2009,"Y",NA,NA,"PCRU","C","LIVE",23,"1"
"HOW1047W","Howland",1,47,1,2,"W",NA,NA,1934,1934,2013,"Y",1934,2013,"Y",NA,NA,"PCRU","C","LIVE",20.1,"1"
"HOW1047E","Howland",1,47,1,2,"E",NA,NA,1934,1934,2013,"Y",1934,2013,"Y",NA,NA,"PCRU","C","LIVE",20.1,"1"
"HOW1048N","Howland",1,48,1,2,"N",NA,NA,1933,1933,2013,"Y",1933,2013,"Y",NA,NA,"PCRU","C","LIVE",24.8,"1"
"HOW1048S","Howland",1,48,1,2,"S",NA,NA,1933,1933,2013,"Y",1933,2013,"Y",NA,NA,"PCRU","C","LIVE",24.8,"1"
"HOW1049E","Howland",1,49,1,2,"E",NA,NA,1862,1862,2013,"Y",1862,2013,"Y",NA,NA,"PCRU","C","LIVE",37.4,"1"
"HOW1049W","Howland",1,49,1,2,"W",NA,NA,1875,1875,2013,"Y",1875,2013,"Y",NA,NA,"PCRU","C","LIVE",37.4,"1"
"HOW1050N","Howland",1,50,1,2,"N",NA,NA,1869,1869,2009,"Y",1869,2009,"Y",NA,NA,"THOC","SNAG","DEAD",19.1,"1"
"HOW1051E","Howland",1,51,1,2,"E",NA,NA,1891,1891,2013,"Y",1891,2013,"Y",NA,NA,"THOC","I","LIVE",22.7,"1"
"HOW1051W","Howland",1,51,1,2,"W",NA,NA,1876,1876,2013,"Y",1876,2013,"Y",NA,NA,"THOC","I","LIVE",22.7,"1"
"HOW1052N","Howland",1,52,1,2,"N",NA,NA,1875,1875,2013,"Y",1875,2013,"Y",NA,NA,"THOC","C","LIVE",22.7,"1"
"HOW1052S","Howland",1,52,1,2,"S",NA,NA,1875,1875,2013,"Y",1875,2013,"Y",NA,NA,"THOC","C","LIVE",22.7,"1"
"HOW1053E","Howland",1,53,1,2,"E",NA,NA,1863,1863,2013,"Y",1863,2013,"Y",NA,NA,"THOC","C","LIVE",23.4,"1"
"HOW1053W","Howland",1,53,1,2,"W",NA,NA,1864,1864,2013,"Y",1864,2013,"Y",NA,NA,"THOC","C","LIVE",23.4,"1"
"HOW1054W","Howland",1,54,1,2,"W",NA,NA,1883,1883,2013,"Y",1883,2013,"Y",NA,NA,"PCRU","C","LIVE",22.6,"1"
"HOW1054E","Howland",1,54,1,2,"E",NA,NA,1884,1884,2013,"Y",1884,2013,"Y",NA,NA,"PCRU","C","LIVE",22.6,"1"
"HOW1055N","Howland",1,55,1,2,"N",NA,NA,1866,1866,2013,"Y",1866,2013,"Y",NA,NA,"PCRU","C","LIVE",25.8,"1"
"HOW1055S","Howland",1,55,1,2,"S",NA,NA,1867,1867,2013,"Y",1867,2013,"Y",NA,NA,"PCRU","C","LIVE",25.8,"1"
"HOW1061E","Howland",1,61,1,2,"E",NA,NA,1911,1911,2013,"Y",1911,2013,"Y",NA,NA,"PCRU","D","LIVE",24.8,"1"
"HOW1061W","Howland",1,61,1,2,"W",NA,NA,1911,1911,2013,"Y",1911,2013,"Y",NA,NA,"PCRU","D","LIVE",24.8,"1"
"HOW1062E","Howland",1,62,1,2,"E",NA,NA,1953,1953,2013,"Y",1953,2013,"Y",NA,NA,"TSCA","I","LIVE",24.5,"1"
"HOW1062W","Howland",1,62,1,2,"W",NA,NA,1953,1953,2013,"Y",1953,2013,"Y",NA,NA,"TSCA","I","LIVE",24.5,"1"
"HOW1063E","Howland",1,63,1,2,"E",NA,NA,1970,1970,2013,"Y",1970,2013,"Y",NA,NA,"TSCA","SNAG","DEAD",28.5,"1"
"HOW1064E","Howland",1,64,1,2,"E",NA,NA,1942,1942,2013,"Y",1942,2013,"Y",NA,NA,"PCRU","C","LIVE",23.1,"1"
"HOW1064W","Howland",1,64,1,2,"W",NA,NA,1943,1943,2013,"Y",1943,2013,"Y",NA,NA,"PCRU","C","LIVE",23.1,"1"
"HOW1065E","Howland",1,65,1,2,"E",NA,NA,1884,1884,2013,"Y",1884,2013,"Y",NA,NA,"THOC","I","LIVE",28.2,"1"
"HOW1065W","Howland",1,65,1,2,"W",NA,NA,1880,1880,2013,"Y",1880,2013,"Y",NA,NA,"THOC","I","LIVE",28.2,"1"
"HOW1066S","Howland",1,66,1,2,"S",NA,NA,1871,1871,2013,"Y",1871,2013,"Y",NA,NA,"PCRU","C","LIVE",26.4,"1"
"HOW1066N","Howland",1,66,1,2,"N",NA,NA,1871,1871,2013,"Y",1871,2013,"Y",NA,NA,"PCRU","C","LIVE",26.4,"1"
"HOW1067E","Howland",1,67,1,2,"E",NA,NA,1871,1871,2013,"Y",1871,2013,"Y",NA,NA,"PCRU","I","LIVE",14.8,"1"
"HOW1067W","Howland",1,67,1,2,"W",NA,NA,1871,1871,2013,"Y",1871,2013,"Y",NA,NA,"PCRU","I","LIVE",14.8,"1"
"HOW1068N","Howland",1,68,1,2,"N",NA,NA,1890,1890,2013,"Y",1890,2013,"Y",NA,NA,"PCRU","C","LIVE",19.1,"1"
"HOW1068S","Howland",1,68,1,2,"S",NA,NA,1890,1890,2013,"Y",1890,2013,"Y",NA,NA,"PCRU","C","LIVE",19.1,"1"
"HOW1069E","Howland",1,69,1,2,"E",NA,NA,1925,1925,2013,"Y",1925,2013,"Y",NA,NA,"TSCA","C","LIVE",25.8,"1"
"HOW1069W","Howland",1,69,1,2,"W",NA,NA,1944,1944,2013,"Y",1944,2013,"Y",NA,NA,"TSCA","C","LIVE",25.8,"1"
"HOW1070E","Howland",1,70,1,2,"E",NA,NA,1955,1955,2013,"Y",1955,2013,"Y",NA,NA,"PCRU","D","LIVE",19.5,"1"
"HOW1070W","Howland",1,70,1,2,"W",NA,NA,1955,1955,2013,"Y",1955,2013,"Y",NA,NA,"PCRU","D","LIVE",19.5,"1"
"HOW1071W","Howland",1,71,1,2,"W",NA,NA,1879,1879,2013,"Y",1879,2013,"Y",NA,NA,"PCRU","C","LIVE",29.4,"1"
"HOW1071E","Howland",1,71,1,2,"E",NA,NA,1961,1961,2013,"Y",1961,2013,"Y",NA,NA,"PCRU","C","LIVE",29.4,"1"
"HOW1075W","Howland",1,75,1,2,"W",NA,NA,1938,1938,2013,"Y",1938,2013,"Y",NA,NA,"PCRU","I","LIVE",13.3,"1"
"HOW1075E","Howland",1,75,1,2,"E",NA,NA,1938,1938,2013,"Y",1938,2013,"Y",NA,NA,"PCRU","I","LIVE",13.3,"1"
"HOW1076N","Howland",1,76,1,2,"N",NA,NA,1929,1929,2013,"Y",1929,2013,"Y",NA,NA,"TSCA","S","LIVE",14.3,"1"
"HOW1076S","Howland",1,76,1,2,"S",NA,NA,1929,1929,2012,"Y",1929,2012,"Y",NA,NA,"TSCA","S","LIVE",14.3,"1"
"HOW1077N","Howland",1,77,1,2,"N",NA,NA,1934,1934,2013,"Y",1934,2013,"Y",NA,NA,"PIST","D","LIVE",43.3,"1"
"HOW1077S","Howland",1,77,1,2,"S",NA,NA,1934,1934,2013,"Y",1934,2013,"Y",NA,NA,"PIST","D","LIVE",43.3,"1"
"HOW1078E","Howland",1,78,1,2,"E",NA,NA,1946,1946,2013,"Y",1946,2013,"Y",NA,NA,"PIST","D","LIVE",35.9,"1"
"HOW1078W","Howland",1,78,1,2,"W",NA,NA,1935,1935,2013,"Y",1935,2013,"Y",NA,NA,"PIST","D","LIVE",35.9,"1"
"HOW1079N","Howland",1,79,1,2,"N",NA,NA,1938,1938,2008,"Y",1938,2008,"Y",NA,NA,"PCRU","C","LIVE",15.5,"1"
"HOW1079S","Howland",1,79,1,2,"S",NA,NA,1938,1938,2008,"Y",1938,2008,"Y",NA,NA,"PCRU","C","LIVE",15.5,"1"
"HOW1080B","Howland",1,80,1,2,"B",NA,NA,1878,1878,2008,"Y",1878,2008,"Y",NA,NA,"PCRU","C","LIVE",14.6,"1"
"HOW1080W","Howland",1,80,1,2,"W",NA,NA,1892,1892,1961,"Y",1892,1961,"Y",NA,NA,"PCRU","C","LIVE",14.6,"1"
"HOW1080E","Howland",1,80,1,2,"E",NA,NA,1922,1922,2008,"Y",1922,2008,"Y",NA,NA,"PCRU","C","LIVE",14.6,"1"
"HOW1081E","Howland",1,81,1,2,"E",NA,NA,1901,1901,2013,"Y",1901,2013,"Y",NA,NA,"PCRU","C","LIVE",24.1,"1"
"HOW1081W","Howland",1,81,1,2,"W",NA,NA,1901,1901,2013,"Y",1901,2013,"Y",NA,NA,"PCRU","C","LIVE",24.1,"1"
"HOW1082W","Howland",1,82,1,2,"W",NA,NA,1871,1871,2013,"Y",1871,2013,"Y",NA,NA,"TSCA","C","LIVE",40.5,"1"
"HOW1082E","Howland",1,82,1,2,"E",NA,NA,1871,1871,2013,"Y",1871,2013,"Y",NA,NA,"TSCA","C","LIVE",40.5,"1"
"HOW1083N","Howland",1,83,1,2,"N",NA,NA,1934,1934,2007,"Y",1934,2007,"Y",NA,NA,"PCRU","I","LIVE",12.7,"1"
"HOW1083S","Howland",1,83,1,2,"S",NA,NA,1934,1934,2003,"Y",1934,2003,"Y",NA,NA,"PCRU","I","LIVE",12.7,"1"
"HOW1084N","Howland",1,84,1,2,"N",NA,NA,1932,1932,2004,"Y",1932,2004,"Y",NA,NA,"PCRU","I","LIVE",15,"1"
"HOW1084S","Howland",1,84,1,2,"S",NA,NA,1932,1932,2000,"Y",1932,2000,"Y",NA,NA,"PCRU","I","LIVE",15,"1"
"HOW1085E","Howland",1,85,1,2,"E",NA,NA,1938,1938,2011,"Y",1938,2011,"Y",NA,NA,"PCRU","I","LIVE",12.3,"1"
"HOW1085W","Howland",1,85,1,2,"W",NA,NA,1938,1938,2009,"Y",1938,2009,"Y",NA,NA,"PCRU","I","LIVE",12.3,"1"
"HOW1086E","Howland",1,86,1,2,"E",NA,NA,1942,1942,2013,"Y",1942,2013,"Y",NA,NA,"PCRU","C","LIVE",19.3,"1"
"HOW1086W","Howland",1,86,1,2,"W",NA,NA,1942,1942,2013,"Y",1942,2013,"Y",NA,NA,"PCRU","C","LIVE",19.3,"1"
"HOW1087W","Howland",1,87,1,2,"W",NA,NA,1884,1884,2013,"Y",1884,2013,"Y",NA,NA,"PCRU","C","LIVE",27,"1"
"HOW1087E","Howland",1,87,1,2,"E",NA,NA,1873,1873,2013,"Y",1873,2013,"Y",NA,NA,"PCRU","C","LIVE",27,"1"
"HOW1088E","Howland",1,88,1,2,"E",NA,NA,1939,1939,2002,"Y",1939,2002,"Y",NA,NA,"PCRU","I","LIVE",10.5,"1"
"HOW1089S","Howland",1,89,1,2,"S",NA,NA,1927,1927,2013,"Y",1927,2013,"Y",NA,NA,"THOC","I","LIVE",25.1,"1"
"HOW1089N","Howland",1,89,1,2,"N",NA,NA,1900,1900,2013,"Y",1900,2013,"Y",NA,NA,"THOC","I","LIVE",25.1,"1"
"HOW1090E","Howland",1,90,1,2,"E",NA,NA,1925,1925,2013,"Y",1925,2013,"Y",NA,NA,"ACRU","I","LIVE",17.7,"1"
"HOW1090W","Howland",1,90,1,2,"W",NA,NA,1925,1925,2013,"Y",1925,2013,"Y",NA,NA,"ACRU","I","LIVE",17.7,"1"
"HOW1091N","Howland",1,91,1,2,"N",NA,NA,1930,1930,2000,"Y",1930,2000,"Y",NA,NA,"PCRU","I","LIVE",13.7,"1"
"HOW1091S","Howland",1,91,1,2,"S",NA,NA,1930,1930,2006,"Y",1930,2006,"Y",NA,NA,"PCRU","I","LIVE",13.7,"1"
"HOW1092E","Howland",1,92,1,2,"E",NA,NA,1937,1937,2011,"Y",1937,2011,"Y",NA,NA,"THOC","S","LIVE",11.6,"1"
"HOW1092W","Howland",1,92,1,2,"W",NA,NA,1946,1946,2009,"Y",1946,2009,"Y",NA,NA,"THOC","S","LIVE",11.6,"1"
"HOW1093E","Howland",1,93,1,2,"E",NA,NA,1937,1937,2013,"Y",1937,2013,"Y",NA,NA,"PCRU","C","LIVE",32,"1"
"HOW1093W","Howland",1,93,1,2,"W",NA,NA,1937,1937,2013,"Y",1937,2013,"Y",NA,NA,"PCRU","C","LIVE",32,"1"
"HOW1094S","Howland",1,94,1,2,"S",NA,NA,1893,1893,2013,"Y",1893,2013,"Y",NA,NA,"TSCA","I","LIVE",37.6,"1"
"HOW1094W","Howland",1,94,1,2,"W",NA,NA,1855,1855,2013,"Y",1855,2013,"Y",NA,NA,"TSCA","I","LIVE",37.6,"1"
"HOW1095W","Howland",1,95,1,2,"W",NA,NA,1940,1940,2013,"Y",1940,2013,"Y",NA,NA,"PCRU","C","LIVE",25.4,"1"
"HOW1095E","Howland",1,95,1,2,"E",NA,NA,1940,1940,2012,"Y",1940,2012,"Y",NA,NA,"PCRU","C","LIVE",25.4,"1"
"HOW1096S","Howland",1,96,1,2,"S",NA,NA,1923,1923,2013,"Y",1923,2013,"Y",NA,NA,"PCRU","C","LIVE",20.9,"1"
"HOW1096N","Howland",1,96,1,2,"N",NA,NA,1923,1923,2013,"Y",1923,2013,"Y",NA,NA,"PCRU","C","LIVE",20.9,"1"
"HOW1097S","Howland",1,97,1,2,"S",NA,NA,1933,1933,2013,"Y",1933,2013,"Y",NA,NA,"PCRU","C","LIVE",20.9,"1"
"HOW1097N","Howland",1,97,1,2,"N",NA,NA,1933,1933,2013,"Y",1933,2013,"Y",NA,NA,"PCRU","C","LIVE",20.9,"1"
"HOW1098E","Howland",1,98,1,2,"E",NA,NA,1868,1868,2007,"Y",1868,2007,"Y",NA,NA,"THOC","I","LIVE",21.2,"1"
"HOW1098W","Howland",1,98,1,2,"W",NA,NA,1868,1868,1996,"Y",1868,1996,"Y",NA,NA,"THOC","I","LIVE",21.2,"1"
"HOW1099S","Howland",1,99,1,2,"S",NA,NA,1872,1872,2013,"Y",1872,2013,"Y",NA,NA,"THOC","I","LIVE",26.2,"1"
"HOW1099N","Howland",1,99,1,2,"N",NA,NA,1872,1872,2013,"Y",1872,2013,"Y",NA,NA,"THOC","I","LIVE",26.2,"1"
"HOW1100E","Howland",1,100,1,2,"E",NA,NA,1900,1900,2013,"Y",1900,2013,"Y",NA,NA,"PCRU","C","LIVE",32.9,"1"
"HOW1100W","Howland",1,100,1,2,"W",NA,NA,1900,1900,2013,"Y",1900,2013,"Y",NA,NA,"PCRU","C","LIVE",32.9,"1"
"HOW1105N","Howland",1,105,1,2,"N",NA,NA,1944,1944,2013,"Y",1944,2013,"Y",NA,NA,"ACRU","I","LIVE",16.4,"1"
"HOW1105W","Howland",1,105,1,2,"W",NA,NA,1933,1933,2013,"Y",1933,2013,"Y",NA,NA,"ACRU","I","LIVE",16.4,"1"
"HOW1106N","Howland",1,106,1,2,"N",NA,NA,1934,1934,2013,"Y",1934,2013,"Y",NA,NA,"PIST","D","LIVE",48.9,"1"
"HOW1106S","Howland",1,106,1,2,"S",NA,NA,1931,1931,2013,"Y",1931,2013,"Y",NA,NA,"PIST","D","LIVE",48.9,"1"
"HOW1107S","Howland",1,107,1,2,"S",NA,NA,1933,1933,2013,"Y",1933,2013,"Y",NA,NA,"PCRU","C","LIVE",21.7,"1"
"HOW1107N","Howland",1,107,1,2,"N",NA,NA,1934,1934,2013,"Y",1934,2013,"Y",NA,NA,"PCRU","C","LIVE",21.7,"1"
"HOW1110N","Howland",1,110,1,2,"N",NA,NA,1940,1940,2013,"Y",1940,2013,"Y",NA,NA,"PCRU","I","LIVE",17,"1"
"HOW1110S","Howland",1,110,1,2,"S",NA,NA,1942,1942,2013,"Y",1942,2013,"Y",NA,NA,"PCRU","I","LIVE",17,"1"
"HOW1111E","Howland",1,111,1,2,"E",NA,NA,1941,1941,2012,"Y",1941,2012,"Y",NA,NA,"PCRU","C","LIVE",15.5,"1"
"HOW1111W","Howland",1,111,1,2,"W",NA,NA,1941,1941,2012,"Y",1941,2012,"Y",NA,NA,"PCRU","C","LIVE",15.5,"1"
"HOW1112E","Howland",1,112,1,2,"E",NA,NA,1930,1930,2013,"Y",1930,2013,"Y",NA,NA,"PIST","D","LIVE",48.4,"1"
